variation = -0.600000, temp_variance = 0.021139, temp_sum = 184.592720, temp_average = 0.266752, count = 692
variation = -0.595000, temp_variance = 0.021725, temp_sum = 186.986877, temp_average = 0.270212, count = 692
variation = -0.590000, temp_variance = 0.022313, temp_sum = 189.420148, temp_average = 0.273729, count = 692
variation = -0.585000, temp_variance = 0.022914, temp_sum = 191.877329, temp_average = 0.277279, count = 692
variation = -0.580000, temp_variance = 0.023527, temp_sum = 194.359238, temp_average = 0.280866, count = 692
variation = -0.575000, temp_variance = 0.024145, temp_sum = 196.874290, temp_average = 0.284500, count = 692
variation = -0.570000, temp_variance = 0.024736, temp_sum = 199.457405, temp_average = 0.288233, count = 692
variation = -0.565000, temp_variance = 0.025303, temp_sum = 202.104227, temp_average = 0.292058, count = 692
variation = -0.560000, temp_variance = 0.025888, temp_sum = 204.763476, temp_average = 0.295901, count = 692
variation = -0.555000, temp_variance = 0.026491, temp_sum = 207.433644, temp_average = 0.299760, count = 692
variation = -0.550000, temp_variance = 0.027092, temp_sum = 210.137026, temp_average = 0.303666, count = 692
variation = -0.545000, temp_variance = 0.027703, temp_sum = 212.858658, temp_average = 0.307599, count = 692
variation = -0.540000, temp_variance = 0.028300, temp_sum = 215.626031, temp_average = 0.311598, count = 692
variation = -0.535000, temp_variance = 0.028899, temp_sum = 218.417598, temp_average = 0.315632, count = 692
variation = -0.530000, temp_variance = 0.029505, temp_sum = 221.229338, temp_average = 0.319696, count = 692
variation = -0.525000, temp_variance = 0.030113, temp_sum = 224.064953, temp_average = 0.323793, count = 692
variation = -0.520000, temp_variance = 0.030736, temp_sum = 226.909715, temp_average = 0.327904, count = 692
variation = -0.515000, temp_variance = 0.031358, temp_sum = 229.779303, temp_average = 0.332051, count = 692
variation = -0.510000, temp_variance = 0.031961, temp_sum = 232.691916, temp_average = 0.336260, count = 692
variation = -0.505000, temp_variance = 0.032556, temp_sum = 235.635362, temp_average = 0.340514, count = 692
variation = -0.500000, temp_variance = 0.033155, temp_sum = 238.595599, temp_average = 0.344791, count = 692
variation = -0.495000, temp_variance = 0.033741, temp_sum = 241.588294, temp_average = 0.349116, count = 692
variation = -0.490000, temp_variance = 0.034342, temp_sum = 244.587284, temp_average = 0.353450, count = 692
variation = -0.485000, temp_variance = 0.034929, temp_sum = 247.617751, temp_average = 0.357829, count = 692
variation = -0.480000, temp_variance = 0.035498, temp_sum = 250.684132, temp_average = 0.362260, count = 692
variation = -0.475000, temp_variance = 0.036036, temp_sum = 253.796017, temp_average = 0.366757, count = 692
variation = -0.470000, temp_variance = 0.036556, temp_sum = 256.940200, temp_average = 0.371301, count = 692
variation = -0.465000, temp_variance = 0.037039, temp_sum = 260.134034, temp_average = 0.375916, count = 692
variation = -0.460000, temp_variance = 0.036648, temp_sum = 239.895611, temp_average = 0.367375, count = 653
variation = -0.455000, temp_variance = 0.036152, temp_sum = 223.633000, temp_average = 0.360118, count = 621
variation = -0.450000, temp_variance = 0.035513, temp_sum = 209.643299, temp_average = 0.353530, count = 593
variation = -0.445000, temp_variance = 0.035372, temp_sum = 205.227942, temp_average = 0.353232, count = 581
variation = -0.440000, temp_variance = 0.034929, temp_sum = 197.767125, temp_average = 0.350651, count = 564
variation = -0.435000, temp_variance = 0.034532, temp_sum = 191.442528, temp_average = 0.348711, count = 549
variation = -0.430000, temp_variance = 0.034422, temp_sum = 189.287891, temp_average = 0.349885, count = 541
variation = -0.425000, temp_variance = 0.034061, temp_sum = 184.715105, temp_average = 0.349178, count = 529
variation = -0.420000, temp_variance = 0.033600, temp_sum = 179.480888, temp_average = 0.347831, count = 516
variation = -0.415000, temp_variance = 0.033081, temp_sum = 174.205661, temp_average = 0.346333, count = 503
variation = -0.410000, temp_variance = 0.032721, temp_sum = 171.323099, temp_average = 0.346808, count = 494
variation = -0.405000, temp_variance = 0.032062, temp_sum = 166.625212, temp_average = 0.345695, count = 482
variation = -0.400000, temp_variance = 0.031552, temp_sum = 163.710294, temp_average = 0.346111, count = 473
variation = -0.395000, temp_variance = 0.031329, temp_sum = 163.795532, temp_average = 0.349244, count = 469
variation = -0.390000, temp_variance = 0.030643, temp_sum = 160.269854, temp_average = 0.349172, count = 459
variation = -0.385000, temp_variance = 0.030070, temp_sum = 157.899907, temp_average = 0.350111, count = 451
variation = -0.380000, temp_variance = 0.029785, temp_sum = 157.900500, temp_average = 0.353245, count = 447
variation = -0.375000, temp_variance = 0.029145, temp_sum = 154.866745, temp_average = 0.353577, count = 438
variation = -0.370000, temp_variance = 0.028852, temp_sum = 154.791941, temp_average = 0.356663, count = 434
variation = -0.365000, temp_variance = 0.027811, temp_sum = 148.670094, temp_average = 0.353976, count = 420
variation = -0.360000, temp_variance = 0.027422, temp_sum = 147.902583, temp_average = 0.356392, count = 415
variation = -0.355000, temp_variance = 0.026790, temp_sum = 145.295405, temp_average = 0.356991, count = 407
variation = -0.350000, temp_variance = 0.026393, temp_sum = 144.457027, temp_average = 0.359346, count = 402
variation = -0.345000, temp_variance = 0.025843, temp_sum = 142.392189, temp_average = 0.360487, count = 395
